----------------------------------------------------------------------
My Process Log
Log file created at : Sun Jun  2 10:29:53 2024
----------------------------------------------------------------------
CONTENTS OF LOG FILE
----------------------------------------------------------------------
{'name': 'System Idle Process', 'pid': 0, 'username': 'NT AUTHORITY\\SYSTEM'} 
{'name': 'SystemSettingsBroker.exe', 'pid': 9720, 'username': 'DESKTOP-31LSV6D\\91779'} 
{'name': 'chrome.exe', 'pid': 9756, 'username': 'DESKTOP-31LSV6D\\91779'} 
{'name': 'SearchIndexer.exe', 'pid': 9832, 'username': None} 
{'name': 'RuntimeBroker.exe', 'pid': 9900, 'username': 'DESKTOP-31LSV6D\\91779'} 
{'name': 'ShellExperienceHost.exe', 'pid': 9904, 'username': 'DESKTOP-31LSV6D\\91779'} 
{'name': 'McUICnt.exe', 'pid': 9940, 'username': 'DESKTOP-31LSV6D\\91779'} 
{'name': 'svchost.exe', 'pid': 10028, 'username': None} 
{'name': 'mcafee-security.exe', 'pid': 10040, 'username': 'DESKTOP-31LSV6D\\91779'} 
{'name': 'svchost.exe', 'pid': 10132, 'username': None} 
{'name': 'RuntimeBroker.exe', 'pid': 10224, 'username': 'DESKTOP-31LSV6D\\91779'} 
{'name': 'BridgeCommunication.exe', 'pid': 10276, 'username': 'DESKTOP-31LSV6D\\91779'} 
{'name': 'cmd.exe', 'pid': 10304, 'username': 'DESKTOP-31LSV6D\\91779'} 
{'name': 'svchost.exe', 'pid': 10744, 'username': 'DESKTOP-31LSV6D\\91779'} 
{'name': 'McCSPServiceHost.exe', 'pid': 10804, 'username': None} 
{'name': 'mcafee-security-ft.exe', 'pid': 10812, 'username': 'DESKTOP-31LSV6D\\91779'} 
{'name': 'msedge.exe', 'pid': 11092, 'username': 'DESKTOP-31LSV6D\\91779'} 
{'name': 'svchost.exe', 'pid': 11320, 'username': None} 
{'name': 'RuntimeBroker.exe', 'pid': 11396, 'username': 'DESKTOP-31LSV6D\\91779'} 
{'name': 'dllhost.exe', 'pid': 11716, 'username': 'DESKTOP-31LSV6D\\91779'} 
{'name': 'TextInputHost.exe', 'pid': 11760, 'username': 'DESKTOP-31LSV6D\\91779'} 
{'name': 'sihost.exe', 'pid': 11840, 'username': 'DESKTOP-31LSV6D\\91779'} 
{'name': 'servicehost.exe', 'pid': 12352, 'username': None} 
{'name': 'mcapexe.exe', 'pid': 12376, 'username': None} 
{'name': 'chrome.exe', 'pid': 12480, 'username': 'DESKTOP-31LSV6D\\91779'} 
{'name': 'dllhost.exe', 'pid': 12816, 'username': 'DESKTOP-31LSV6D\\91779'} 
{'name': 'msedge.exe', 'pid': 13264, 'username': 'DESKTOP-31LSV6D\\91779'} 
{'name': 'svchost.exe', 'pid': 13556, 'username': None} 
{'name': 'svchost.exe', 'pid': 13640, 'username': None} 
{'name': 'fontdrvhost.exe', 'pid': 13968, 'username': None} 
{'name': 'NisSrv.exe', 'pid': 13976, 'username': None} 
{'name': 'DesktopExtension.exe', 'pid': 13992, 'username': 'DESKTOP-31LSV6D\\91779'} 
{'name': 'HPCommRecovery.exe', 'pid': 14064, 'username': None} 
{'name': 'SynTPEnh.exe', 'pid': 14140, 'username': 'DESKTOP-31LSV6D\\91779'} 
{'name': 'svchost.exe', 'pid': 14272, 'username': 'DESKTOP-31LSV6D\\91779'} 
{'name': 'QcShm.exe', 'pid': 14360, 'username': None} 
{'name': 'chrome.exe', 'pid': 14436, 'username': 'DESKTOP-31LSV6D\\91779'} 
{'name': 'MfeBrowserHost.exe', 'pid': 14816, 'username': 'DESKTOP-31LSV6D\\91779'} 
{'name': 'SecurityHealthService.exe', 'pid': 14860, 'username': None} 
{'name': 'svchost.exe', 'pid': 15116, 'username': 'DESKTOP-31LSV6D\\91779'} 
{'name': 'TabTip.exe', 'pid': 15404, 'username': 'DESKTOP-31LSV6D\\91779'} 
{'name': 'explorer.exe', 'pid': 15460, 'username': 'DESKTOP-31LSV6D\\91779'} 
{'name': 'msteams.exe', 'pid': 15628, 'username': 'DESKTOP-31LSV6D\\91779'} 
{'name': 'ModuleCoreService.exe', 'pid': 15652, 'username': 'DESKTOP-31LSV6D\\91779'} 
{'name': 'HPAudioSwitch.exe', 'pid': 15712, 'username': 'DESKTOP-31LSV6D\\91779'} 
{'name': 'RuntimeBroker.exe', 'pid': 15848, 'username': 'DESKTOP-31LSV6D\\91779'} 
{'name': 'SecurityHealthSystray.exe', 'pid': 16056, 'username': 'DESKTOP-31LSV6D\\91779'} 
{'name': 'svchost.exe', 'pid': 16132, 'username': None} 
{'name': 'Zoom.exe', 'pid': 16216, 'username': 'DESKTOP-31LSV6D\\91779'} 
{'name': 'msedgewebview2.exe', 'pid': 16380, 'username': 'DESKTOP-31LSV6D\\91779'} 
{'name': 'Code.exe', 'pid': 16412, 'username': 'DESKTOP-31LSV6D\\91779'} 
{'name': 'msedgewebview2.exe', 'pid': 16436, 'username': 'DESKTOP-31LSV6D\\91779'} 
{'name': 'msedgewebview2.exe', 'pid': 16444, 'username': 'DESKTOP-31LSV6D\\91779'} 
{'name': 'cmd.exe', 'pid': 16652, 'username': 'DESKTOP-31LSV6D\\91779'} 
{'name': 'RuntimeBroker.exe', 'pid': 16768, 'username': 'DESKTOP-31LSV6D\\91779'} 
{'name': 'msedgewebview2.exe', 'pid': 16804, 'username': 'DESKTOP-31LSV6D\\91779'} 
{'name': 'backgroundTaskHost.exe', 'pid': 17068, 'username': 'DESKTOP-31LSV6D\\91779'} 
{'name': 'msedgewebview2.exe', 'pid': 17156, 'username': 'DESKTOP-31LSV6D\\91779'} 
{'name': 'uihost.exe', 'pid': 17200, 'username': 'DESKTOP-31LSV6D\\91779'} 
{'name': 'dwm.exe', 'pid': 17288, 'username': None} 
{'name': 'winlogon.exe', 'pid': 17440, 'username': None} 
{'name': 'backgroundTaskHost.exe', 'pid': 17516, 'username': 'DESKTOP-31LSV6D\\91779'} 
{'name': 'RuntimeBroker.exe', 'pid': 17540, 'username': 'DESKTOP-31LSV6D\\91779'} 
{'name': 'msedge.exe', 'pid': 17568, 'username': 'DESKTOP-31LSV6D\\91779'} 
{'name': 'csrss.exe', 'pid': 17644, 'username': None} 
{'name': 'svchost.exe', 'pid': 17660, 'username': None} 
{'name': 'XboxGameBarWidgets.exe', 'pid': 17708, 'username': 'DESKTOP-31LSV6D\\91779'} 
{'name': 'svchost.exe', 'pid': 17744, 'username': None} 
{'name': 'ctfmon.exe', 'pid': 18016, 'username': 'DESKTOP-31LSV6D\\91779'} 
{'name': 'ExpressVPNNotificationService.exe', 'pid': 18020, 'username': 'DESKTOP-31LSV6D\\91779'} 
{'name': 'conhost.exe', 'pid': 18024, 'username': 'DESKTOP-31LSV6D\\91779'} 
{'name': 'svchost.exe', 'pid': 18108, 'username': None} 
{'name': 'svchost.exe', 'pid': 18396, 'username': None} 
{'name': 'RuntimeBroker.exe', 'pid': 18444, 'username': 'DESKTOP-31LSV6D\\91779'} 
{'name': 'StartMenuExperienceHost.exe', 'pid': 18452, 'username': 'DESKTOP-31LSV6D\\91779'} 
{'name': 'cmd.exe', 'pid': 18520, 'username': 'DESKTOP-31LSV6D\\91779'} 
{'name': 'MfeAVSvc.exe', 'pid': 18528, 'username': None} 
{'name': 'aesm_service.exe', 'pid': 18536, 'username': None} 
{'name': 'svchost.exe', 'pid': 18680, 'username': None} 
{'name': 'cmd.exe', 'pid': 18780, 'username': 'DESKTOP-31LSV6D\\91779'} 
{'name': 'dasHost.exe', 'pid': 18896, 'username': None} 
{'name': 'chrome.exe', 'pid': 18968, 'username': 'DESKTOP-31LSV6D\\91779'} 
{'name': 'UserOOBEBroker.exe', 'pid': 19156, 'username': 'DESKTOP-31LSV6D\\91779'} 
{'name': 'SearchHost.exe', 'pid': 19208, 'username': 'DESKTOP-31LSV6D\\91779'} 
{'name': 'svchost.exe', 'pid': 19212, 'username': None} 
{'name': 'msedgewebview2.exe', 'pid': 19244, 'username': 'DESKTOP-31LSV6D\\91779'} 
{'name': 'RuntimeBroker.exe', 'pid': 19560, 'username': 'DESKTOP-31LSV6D\\91779'} 
{'name': 'svchost.exe', 'pid': 19592, 'username': None} 
{'name': 'svchost.exe', 'pid': 19752, 'username': 'DESKTOP-31LSV6D\\91779'} 
{'name': 'Zoom.exe', 'pid': 19952, 'username': 'DESKTOP-31LSV6D\\91779'} 
{'name': 'conhost.exe', 'pid': 20344, 'username': 'DESKTOP-31LSV6D\\91779'} 
{'name': 'HPSystemEventUtilityBackground.exe', 'pid': 20360, 'username': 'DESKTOP-31LSV6D\\91779'} 
{'name': 'msedgewebview2.exe', 'pid': 20384, 'username': 'DESKTOP-31LSV6D\\91779'} 
{'name': 'msedge.exe', 'pid': 21160, 'username': 'DESKTOP-31LSV6D\\91779'} 
{'name': 'svchost.exe', 'pid': 21484, 'username': 'DESKTOP-31LSV6D\\91779'} 
{'name': 'RuntimeBroker.exe', 'pid': 21736, 'username': 'DESKTOP-31LSV6D\\91779'} 
{'name': 'igfxEM.exe', 'pid': 21756, 'username': 'DESKTOP-31LSV6D\\91779'} 
{'name': 'RtkAudUService64.exe', 'pid': 21860, 'username': 'DESKTOP-31LSV6D\\91779'} 
{'name': 'WidgetService.exe', 'pid': 22124, 'username': 'DESKTOP-31LSV6D\\91779'} 
{'name': 'PhoneExperienceHost.exe', 'pid': 22344, 'username': 'DESKTOP-31LSV6D\\91779'} 
{'name': 'Code.exe', 'pid': 22408, 'username': 'DESKTOP-31LSV6D\\91779'} 
{'name': 'chrome.exe', 'pid': 22520, 'username': 'DESKTOP-31LSV6D\\91779'} 
{'name': 'msedge.exe', 'pid': 22660, 'username': 'DESKTOP-31LSV6D\\91779'} 
{'name': 'taskhostw.exe', 'pid': 22880, 'username': 'DESKTOP-31LSV6D\\91779'} 
{'name': 'msedgewebview2.exe', 'pid': 23060, 'username': 'DESKTOP-31LSV6D\\91779'} 
{'name': 'SDXHelper.exe', 'pid': 23212, 'username': 'DESKTOP-31LSV6D\\91779'} 
{'name': 'msedgewebview2.exe', 'pid': 23292, 'username': 'DESKTOP-31LSV6D\\91779'} 
{'name': 'svchost.exe', 'pid': 23344, 'username': 'DESKTOP-31LSV6D\\91779'} 
{'name': 'chrome.exe', 'pid': 23668, 'username': 'DESKTOP-31LSV6D\\91779'} 
{'name': 'msedgewebview2.exe', 'pid': 23784, 'username': 'DESKTOP-31LSV6D\\91779'} 
{'name': 'chrome.exe', 'pid': 23796, 'username': 'DESKTOP-31LSV6D\\91779'} 
{'name': 'audiodg.exe', 'pid': 23808, 'username': None} 
{'name': 'msedge.exe', 'pid': 24008, 'username': 'DESKTOP-31LSV6D\\91779'} 
{'name': 'msedgewebview2.exe', 'pid': 24088, 'username': 'DESKTOP-31LSV6D\\91779'} 
{'name': 'msedgewebview2.exe', 'pid': 24092, 'username': 'DESKTOP-31LSV6D\\91779'} 
{'name': 'svchost.exe', 'pid': 24136, 'username': None} 
{'name': 'msedgewebview2.exe', 'pid': 24160, 'username': 'DESKTOP-31LSV6D\\91779'} 
{'name': 'chrome.exe', 'pid': 24164, 'username': 'DESKTOP-31LSV6D\\91779'} 
{'name': 'chrome.exe', 'pid': 24212, 'username': 'DESKTOP-31LSV6D\\91779'} 
{'name': 'OpenConsole.exe', 'pid': 24264, 'username': 'DESKTOP-31LSV6D\\91779'} 
{'name': 'chrome.exe', 'pid': 24276, 'username': 'DESKTOP-31LSV6D\\91779'} 
{'name': 'LockApp.exe', 'pid': 24380, 'username': 'DESKTOP-31LSV6D\\91779'} 
{'name': 'cmd.exe', 'pid': 24524, 'username': 'DESKTOP-31LSV6D\\91779'} 
{'name': 'RuntimeBroker.exe', 'pid': 24572, 'username': 'DESKTOP-31LSV6D\\91779'} 
{'name': 'python.exe', 'pid': 25320, 'username': 'DESKTOP-31LSV6D\\91779'} 
{'name': 'msedge.exe', 'pid': 25532, 'username': 'DESKTOP-31LSV6D\\91779'} 
{'name': 'msedge.exe', 'pid': 26084, 'username': 'DESKTOP-31LSV6D\\91779'} 
{'name': 'chrome.exe', 'pid': 26096, 'username': 'DESKTOP-31LSV6D\\91779'} 
{'name': 'Video.UI.exe', 'pid': 26116, 'username': 'DESKTOP-31LSV6D\\91779'} 
{'name': 'conhost.exe', 'pid': 26208, 'username': 'DESKTOP-31LSV6D\\91779'} 
{'name': 'msedgewebview2.exe', 'pid': 26472, 'username': 'DESKTOP-31LSV6D\\91779'} 
{'name': 'browserhost.exe', 'pid': 26564, 'username': 'DESKTOP-31LSV6D\\91779'} 
{'name': 'Code.exe', 'pid': 27176, 'username': 'DESKTOP-31LSV6D\\91779'} 
{'name': 'Code.exe', 'pid': 27188, 'username': 'DESKTOP-31LSV6D\\91779'} 
{'name': 'backgroundTaskHost.exe', 'pid': 27300, 'username': 'DESKTOP-31LSV6D\\91779'} 
{'name': 'Windows.Media.BackgroundPlayback.exe', 'pid': 27372, 'username': 'DESKTOP-31LSV6D\\91779'} 
{'name': 'chrome.exe', 'pid': 27768, 'username': 'DESKTOP-31LSV6D\\91779'} 
{'name': 'Code.exe', 'pid': 27860, 'username': 'DESKTOP-31LSV6D\\91779'} 
{'name': 'CptHost.exe', 'pid': 27896, 'username': 'DESKTOP-31LSV6D\\91779'} 
{'name': 'SystemSettingsAdminFlows.exe', 'pid': 27972, 'username': 'DESKTOP-31LSV6D\\91779'} 
{'name': 'msedge.exe', 'pid': 28000, 'username': 'DESKTOP-31LSV6D\\91779'} 
{'name': 'MfeBrowserHost.exe', 'pid': 28012, 'username': 'DESKTOP-31LSV6D\\91779'} 
{'name': 'WindowsTerminal.exe', 'pid': 28044, 'username': 'DESKTOP-31LSV6D\\91779'} 
{'name': 'chrome.exe', 'pid': 28052, 'username': 'DESKTOP-31LSV6D\\91779'} 
{'name': 'RuntimeBroker.exe', 'pid': 28112, 'username': 'DESKTOP-31LSV6D\\91779'} 
{'name': 'svchost.exe', 'pid': 28740, 'username': None} 
{'name': 'Code.exe', 'pid': 28896, 'username': 'DESKTOP-31LSV6D\\91779'} 
{'name': 'backgroundTaskHost.exe', 'pid': 28908, 'username': 'DESKTOP-31LSV6D\\91779'} 
{'name': 'msedge.exe', 'pid': 29168, 'username': 'DESKTOP-31LSV6D\\91779'} 
{'name': 'conhost.exe', 'pid': 29340, 'username': 'DESKTOP-31LSV6D\\91779'} 
{'name': 'browserhost.exe', 'pid': 29648, 'username': 'DESKTOP-31LSV6D\\91779'} 
----------------------------------------------------------------------
