----------------------------------------------------------------------
My Process Log
Log file created at : Sun Jun  2 10:27:43 2024
----------------------------------------------------------------------
CONTENTS OF LOG FILE
----------------------------------------------------------------------
{'name': 'System Idle Process', 'username': 'NT AUTHORITY\\SYSTEM', 'pid': 0} 
{'name': 'MsMpEng.exe', 'username': None, 'pid': 6228} 
{'name': 'svchost.exe', 'username': None, 'pid': 6252} 
{'name': 'XtuService.exe', 'username': None, 'pid': 6272} 
{'name': 'jhi_service.exe', 'username': None, 'pid': 6596} 
{'name': 'wlanext.exe', 'username': None, 'pid': 6676} 
{'name': 'conhost.exe', 'username': None, 'pid': 6724} 
{'name': 'svchost.exe', 'username': None, 'pid': 7008} 
{'name': 'mysqld.exe', 'username': None, 'pid': 7096} 
{'name': 'conhost.exe', 'username': None, 'pid': 7156} 
{'name': 'Code.exe', 'username': 'DESKTOP-31LSV6D\\91779', 'pid': 7352} 
{'name': 'MMSSHOST.exe', 'username': None, 'pid': 7544} 
{'name': 'svchost.exe', 'username': None, 'pid': 7688} 
{'name': 'msedgewebview2.exe', 'username': 'DESKTOP-31LSV6D\\91779', 'pid': 7696} 
{'name': 'mfevtps.exe', 'username': None, 'pid': 7720} 
{'name': 'ProtectedModuleHost.exe', 'username': None, 'pid': 7812} 
{'name': 'svchost.exe', 'username': None, 'pid': 8008} 
{'name': 'svchost.exe', 'username': 'DESKTOP-31LSV6D\\91779', 'pid': 8312} 
{'name': 'AggregatorHost.exe', 'username': None, 'pid': 8328} 
{'name': 'EzTiltPenAgent.exe', 'username': 'DESKTOP-31LSV6D\\91779', 'pid': 8356} 
{'name': 'svchost.exe', 'username': None, 'pid': 8476} 
{'name': 'Widgets.exe', 'username': 'DESKTOP-31LSV6D\\91779', 'pid': 8560} 
{'name': 'McVulCtr.exe', 'username': None, 'pid': 8672} 
{'name': 'svchost.exe', 'username': None, 'pid': 8716} 
{'name': 'Code.exe', 'username': 'DESKTOP-31LSV6D\\91779', 'pid': 8752} 
{'name': 'svchost.exe', 'username': None, 'pid': 8928} 
{'name': 'svchost.exe', 'username': None, 'pid': 8932} 
{'name': 'ModuleCoreService.exe', 'username': None, 'pid': 9112} 
{'name': 'conhost.exe', 'username': None, 'pid': 9128} 
{'name': 'svchost.exe', 'username': None, 'pid': 9136} 
{'name': 'ApplicationFrameHost.exe', 'username': 'DESKTOP-31LSV6D\\91779', 'pid': 9196} 
