----------------------------------------------------------------------
My Process Log
Log file created at : Sun Jun  2 10:31:53 2024
----------------------------------------------------------------------
CONTENTS OF LOG FILE
----------------------------------------------------------------------
{'pid': 0, 'name': 'System Idle Process', 'username': 'NT AUTHORITY\\SYSTEM'} 
{'pid': 19212, 'name': 'svchost.exe', 'username': None} 
{'pid': 19244, 'name': 'msedgewebview2.exe', 'username': 'DESKTOP-31LSV6D\\91779'} 
{'pid': 19560, 'name': 'RuntimeBroker.exe', 'username': 'DESKTOP-31LSV6D\\91779'} 
{'pid': 19592, 'name': 'svchost.exe', 'username': None} 
{'pid': 19752, 'name': 'svchost.exe', 'username': 'DESKTOP-31LSV6D\\91779'} 
{'pid': 19952, 'name': 'Zoom.exe', 'username': 'DESKTOP-31LSV6D\\91779'} 
{'pid': 20344, 'name': 'conhost.exe', 'username': 'DESKTOP-31LSV6D\\91779'} 
{'pid': 20360, 'name': 'HPSystemEventUtilityBackground.exe', 'username': 'DESKTOP-31LSV6D\\91779'} 
{'pid': 20384, 'name': 'msedgewebview2.exe', 'username': 'DESKTOP-31LSV6D\\91779'} 
{'pid': 21160, 'name': 'msedge.exe', 'username': 'DESKTOP-31LSV6D\\91779'} 
{'pid': 21484, 'name': 'svchost.exe', 'username': 'DESKTOP-31LSV6D\\91779'} 
{'pid': 21736, 'name': 'RuntimeBroker.exe', 'username': 'DESKTOP-31LSV6D\\91779'} 
{'pid': 21756, 'name': 'igfxEM.exe', 'username': 'DESKTOP-31LSV6D\\91779'} 
{'pid': 21860, 'name': 'RtkAudUService64.exe', 'username': 'DESKTOP-31LSV6D\\91779'} 
{'pid': 22124, 'name': 'WidgetService.exe', 'username': 'DESKTOP-31LSV6D\\91779'} 
{'pid': 22344, 'name': 'PhoneExperienceHost.exe', 'username': 'DESKTOP-31LSV6D\\91779'} 
{'pid': 22408, 'name': 'Code.exe', 'username': 'DESKTOP-31LSV6D\\91779'} 
{'pid': 22660, 'name': 'msedge.exe', 'username': 'DESKTOP-31LSV6D\\91779'} 
{'pid': 22880, 'name': 'taskhostw.exe', 'username': 'DESKTOP-31LSV6D\\91779'} 
{'pid': 23060, 'name': 'msedgewebview2.exe', 'username': 'DESKTOP-31LSV6D\\91779'} 
{'pid': 23212, 'name': 'SDXHelper.exe', 'username': 'DESKTOP-31LSV6D\\91779'} 
{'pid': 23292, 'name': 'msedgewebview2.exe', 'username': 'DESKTOP-31LSV6D\\91779'} 
{'pid': 23344, 'name': 'svchost.exe', 'username': 'DESKTOP-31LSV6D\\91779'} 
{'pid': 23668, 'name': 'chrome.exe', 'username': 'DESKTOP-31LSV6D\\91779'} 
{'pid': 23784, 'name': 'msedgewebview2.exe', 'username': 'DESKTOP-31LSV6D\\91779'} 
{'pid': 23796, 'name': 'chrome.exe', 'username': 'DESKTOP-31LSV6D\\91779'} 
{'pid': 23808, 'name': 'audiodg.exe', 'username': None} 
{'pid': 24008, 'name': 'msedge.exe', 'username': 'DESKTOP-31LSV6D\\91779'} 
{'pid': 24088, 'name': 'msedgewebview2.exe', 'username': 'DESKTOP-31LSV6D\\91779'} 
{'pid': 24092, 'name': 'msedgewebview2.exe', 'username': 'DESKTOP-31LSV6D\\91779'} 
{'pid': 24136, 'name': 'svchost.exe', 'username': None} 
{'pid': 24160, 'name': 'msedgewebview2.exe', 'username': 'DESKTOP-31LSV6D\\91779'} 
{'pid': 24164, 'name': 'chrome.exe', 'username': 'DESKTOP-31LSV6D\\91779'} 
{'pid': 24212, 'name': 'chrome.exe', 'username': 'DESKTOP-31LSV6D\\91779'} 
{'pid': 24264, 'name': 'OpenConsole.exe', 'username': 'DESKTOP-31LSV6D\\91779'} 
{'pid': 24276, 'name': 'chrome.exe', 'username': 'DESKTOP-31LSV6D\\91779'} 
{'pid': 24380, 'name': 'LockApp.exe', 'username': 'DESKTOP-31LSV6D\\91779'} 
{'pid': 24524, 'name': 'cmd.exe', 'username': 'DESKTOP-31LSV6D\\91779'} 
{'pid': 24572, 'name': 'RuntimeBroker.exe', 'username': 'DESKTOP-31LSV6D\\91779'} 
{'pid': 25532, 'name': 'msedge.exe', 'username': 'DESKTOP-31LSV6D\\91779'} 
{'pid': 25976, 'name': 'RuntimeBroker.exe', 'username': 'DESKTOP-31LSV6D\\91779'} 
{'pid': 26084, 'name': 'msedge.exe', 'username': 'DESKTOP-31LSV6D\\91779'} 
{'pid': 26096, 'name': 'chrome.exe', 'username': 'DESKTOP-31LSV6D\\91779'} 
{'pid': 26116, 'name': 'Video.UI.exe', 'username': 'DESKTOP-31LSV6D\\91779'} 
{'pid': 26208, 'name': 'conhost.exe', 'username': 'DESKTOP-31LSV6D\\91779'} 
{'pid': 26472, 'name': 'msedgewebview2.exe', 'username': 'DESKTOP-31LSV6D\\91779'} 
{'pid': 26564, 'name': 'browserhost.exe', 'username': 'DESKTOP-31LSV6D\\91779'} 
{'pid': 27176, 'name': 'Code.exe', 'username': 'DESKTOP-31LSV6D\\91779'} 
{'pid': 27188, 'name': 'Code.exe', 'username': 'DESKTOP-31LSV6D\\91779'} 
{'pid': 27300, 'name': 'backgroundTaskHost.exe', 'username': 'DESKTOP-31LSV6D\\91779'} 
{'pid': 27372, 'name': 'Windows.Media.BackgroundPlayback.exe', 'username': 'DESKTOP-31LSV6D\\91779'} 
{'pid': 27472, 'name': 'python.exe', 'username': 'DESKTOP-31LSV6D\\91779'} 
{'pid': 27768, 'name': 'chrome.exe', 'username': 'DESKTOP-31LSV6D\\91779'} 
{'pid': 27860, 'name': 'Code.exe', 'username': 'DESKTOP-31LSV6D\\91779'} 
{'pid': 27896, 'name': 'CptHost.exe', 'username': 'DESKTOP-31LSV6D\\91779'} 
{'pid': 27972, 'name': 'SystemSettingsAdminFlows.exe', 'username': 'DESKTOP-31LSV6D\\91779'} 
{'pid': 28000, 'name': 'msedge.exe', 'username': 'DESKTOP-31LSV6D\\91779'} 
{'pid': 28012, 'name': 'MfeBrowserHost.exe', 'username': 'DESKTOP-31LSV6D\\91779'} 
{'pid': 28044, 'name': 'WindowsTerminal.exe', 'username': 'DESKTOP-31LSV6D\\91779'} 
{'pid': 28052, 'name': 'chrome.exe', 'username': 'DESKTOP-31LSV6D\\91779'} 
{'pid': 28112, 'name': 'RuntimeBroker.exe', 'username': 'DESKTOP-31LSV6D\\91779'} 
{'pid': 28740, 'name': 'svchost.exe', 'username': None} 
{'pid': 28896, 'name': 'Code.exe', 'username': 'DESKTOP-31LSV6D\\91779'} 
{'pid': 28908, 'name': 'backgroundTaskHost.exe', 'username': 'DESKTOP-31LSV6D\\91779'} 
{'pid': 29168, 'name': 'msedge.exe', 'username': 'DESKTOP-31LSV6D\\91779'} 
{'pid': 29340, 'name': 'conhost.exe', 'username': 'DESKTOP-31LSV6D\\91779'} 
{'pid': 29648, 'name': 'browserhost.exe', 'username': 'DESKTOP-31LSV6D\\91779'} 
----------------------------------------------------------------------
